,session,exercise,name,user,url,commits,runs,completed,failed
382,01,10,01-10-resistor-color-duo-yadwinder1905,yadwinder1905,https://github.com/DB-Teaching/01-10-resistor-color-duo-yadwinder1905,4,2,1,1
383,01,02,01-02-leap-Tanmaytc25,Tanmaytc25,https://github.com/DB-Teaching/01-02-leap-Tanmaytc25,3,1,0,0
384,03,06,03-06-beer-song-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-06-beer-song-Ikesee-Ikemefuna,3,1,0,0
385,03,07,03-07-flatten-array-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-07-flatten-array-Ikesee-Ikemefuna,3,1,0,0
386,03,08,03-08-atbash-cipher-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-08-atbash-cipher-Ikesee-Ikemefuna,3,1,0,0
387,03,09,03-09-series-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-09-series-Ikesee-Ikemefuna,3,1,0,0
388,03,10,03-10-anagram-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-10-anagram-Ikesee-Ikemefuna,3,1,0,0
389,03,12,03-12-list-ops-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-12-list-ops-Ikesee-Ikemefuna,3,1,0,0
390,03,13,03-13-house-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/03-13-house-Ikesee-Ikemefuna,3,1,0,0
391,04,04,04-04-hamming-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/04-04-hamming-Ikesee-Ikemefuna,3,1,0,0
392,04,03,04-03-wordy-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/04-03-wordy-Ikesee-Ikemefuna,3,1,0,0
393,04,08,04-08-raindrops-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/04-08-raindrops-Ikesee-Ikemefuna,3,1,0,0
394,05,01,05-01-robot-simulator-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/05-01-robot-simulator-Ikesee-Ikemefuna,3,1,0,0
395,05,09,05-09-transpose-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/05-09-transpose-Ikesee-Ikemefuna,3,1,0,0
396,05,07,05-07-space-age-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/05-07-space-age-Ikesee-Ikemefuna,3,1,0,0
397,07,07,07-07-clock-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/07-07-clock-Ikesee-Ikemefuna,3,1,0,0
398,07,13,07-13-simple-cipher-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/07-13-simple-cipher-Ikesee-Ikemefuna,3,1,0,0
399,07,15,07-15-grade-school-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/07-15-grade-school-Ikesee-Ikemefuna,3,1,0,0
400,07,16,07-16-circular-buffer-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/07-16-circular-buffer-Ikesee-Ikemefuna,3,1,0,0
401,08,13,08-13-protein-translation-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/08-13-protein-translation-Ikesee-Ikemefuna,3,1,0,0
402,09,03,09-03-book-store-Ikesee-Ikemefuna,Ikesee-Ikemefuna,https://github.com/DB-Teaching/09-03-book-store-Ikesee-Ikemefuna,3,1,0,0
403,01,03,01-03-difference-of-squares-Tanmaytc25,Tanmaytc25,https://github.com/DB-Teaching/01-03-difference-of-squares-Tanmaytc25,3,1,0,0
404,02,11,02-11-isbn-verifier-Marinapozhid,Marinapozhid,https://github.com/DB-Teaching/02-11-isbn-verifier-Marinapozhid,3,1,0,0
